date,symbol,direction,signal_time,entry_time,strategy_entry,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier,entry_drift_pct,signal_age_min,overlap_ratio,overlap_tier,profit_locked,exit_fill_status,atr_pct,size_cap_reason
2026-06-24,JSWSTEEL,SHORT,09:20,11:46,1234.3,1239.1,403,499357.3,1245.8,1225.7,2.0,"ADX-FILTER,DAILY-BIAS,DBL-TOP,DESC-TRI,FIRST-CANDLE,MACD,STOCHASTIC,SUPERTREND",8,24.0,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=1234.30,15:15,1236.6,TIME_EXIT,WIN,280.04,0.06,62.3,HIGH,0.0,0.0,,N/A,False,N/A,,N/A
2026-06-29,CIPLA,LONG,09:15,09:21,1448.55,1455.3,343,499167.9,1450.62,1474.0,4.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-BTM",4,12.0,CAMARILLA,CAMARILLA: breakout above H4=1448.55,09:23,1450.62,STOP_HIT,LOSS,-2331.74,-0.47,49.8,STANDARD,0.0,0.0,,N/A,False,N/A,,N/A
2026-06-29,AEGISLOG,LONG,09:35,10:01,1132.6571428571428,1169.4,427,499333.8,1160.46,1225.0,6.22,"ADX-FILTER,BOLLINGER,BULL-FLAG,CAMARILLA,CPR,DAILY-BIAS,MACD,PDH-PDL,STOCHASTIC,SUPERTREND,VPOC",10,30.164,VPOC,VPOC: breakout above VAH=1132.66,15:15,1169.55,TIME_EXIT,LOSS,-664.0,-0.13,47.3,STANDARD,0.0,0.0,,N/A,False,N/A,,N/A
2026-06-29,WIPRO,SHORT,09:15,09:21,176.0975,176.06,2839,499834.34,177.08,174.03,1.99,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS",4,12.0,CAMARILLA,"CAMARILLA: reversal at H3=176.10, target L3=174.06",15:15,175.24,TIME_EXIT,WIN,1600.63,0.32,67.4,HIGH,0.0,0.0,,N/A,False,N/A,,N/A
2026-06-30,KIMS,LONG,09:15,09:20,816.5425,823.8,606,499222.8,817.93,847.29,4.0,"ADX-FILTER,ASC-TRI,CAMARILLA,CPR,DAILY-BIAS",5,15.0,CAMARILLA,CAMARILLA: breakout above H4=816.54,14:47,817.93,STOP_HIT,LOSS,-4282.25,-0.86,49.0,STANDARD,0.0,0.0,,N/A,False,N/A,,N/A
2026-06-30,INDUSTOWER,SHORT,09:15,09:20,397.01875,396.2,1261,499608.2,399.02,390.56,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-TOP",4,12.0,CAMARILLA,"CAMARILLA: reversal at H3=397.02, target L3=391.38",15:15,391.6,TIME_EXIT,WIN,5075.54,1.02,68.1,HIGH,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-01,BIOCON,LONG,09:15,09:20,423.095,424.85,1176,499623.6,422.13,435.74,4.0,"ADX-FILTER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM",5,15.0,CAMARILLA,CAMARILLA: breakout above H4=423.09,09:23,422.13,STOP_HIT,LOSS,-3924.58,-0.79,48.9,STANDARD,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-01,JPPOWER,SHORT,09:15,09:20,17.92,17.88,27964,499996.32,18.24,17.34,1.5,"ADX-FILTER,BOLLINGER,DAILY-BIAS,RSI-EXT",4,12.0,RSI-EXT,"RSI-EXT: RSI=76.7 overbought, sell reversion",09:24,18.24,STOP_HIT,LOSS,-10801.7,-2.16,64.4,MEDIUM,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-02,INDIGO,LONG,09:15,09:21,5427.325,5441.5,91,495176.5,5419.09,5531.15,4.0,"ADX-FILTER,CAMARILLA,CPR,DAILY-BIAS",4,12.0,CAMARILLA,CAMARILLA: breakout above H4=5427.32,10:02,5419.09,STOP_HIT,LOSS,-2760.03,-0.56,49.2,STANDARD,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-02,VMM,SHORT,09:15,09:21,120.35,119.93,4169,499988.17,121.74,116.59,1.85,"ADX-FILTER,BOLLINGER,DAILY-BIAS,RSI-EXT",4,12.0,BOLLINGER,"BOLLINGER: price at upper band 118.61, RSI=86",15:15,121.31,TIME_EXIT,LOSS,-6485.4,-1.3,64.4,MEDIUM,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-03,MRF,LONG,09:15,09:20,133388.5,134230.0,3,402690.0,133550.75,136947.0,4.0,"ADX-FILTER,ASC-TRI,CAMARILLA,DAILY-BIAS,DBL-BTM",5,15.0,CAMARILLA,CAMARILLA: breakout above H4=133388.50,15:15,134020.0,TIME_EXIT,LOSS,-1225.74,-0.3,49.1,STANDARD,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-03,HINDZINC,SHORT,09:15,09:20,542.85,542.3,921,499458.3,550.44,529.06,1.63,"ADX-FILTER,BOLLINGER,DAILY-BIAS,RSI-EXT",4,12.0,BOLLINGER,"BOLLINGER: price at upper band 535.91, RSI=88",15:15,537.55,TIME_EXIT,WIN,3649.08,0.73,64.4,MEDIUM,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-06,GODREJPROP,LONG,09:15,09:20,2005.6,2007.1,249,499767.9,1998.3,2042.3,4.0,"BULL-FLAG,CAMARILLA,CPR,DAILY-BIAS",4,12.0,CAMARILLA,CAMARILLA: breakout above H4=2005.60,09:52,2042.3,TARGET_HIT,EXACT_WIN,8029.27,1.61,49.2,STANDARD,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-06,GODFRYPHLP,SHORT,09:15,09:20,2167.25,2166.5,230,498295.0,2171.67,2156.17,2.0,"ADX-FILTER,CPR,DAILY-BIAS,DBL-TOP",4,12.0,CPR,"CPR: narrow CPR, breakdown below BC=2167.25",10:08,2156.17,TARGET_HIT,EXACT_WIN,1650.67,0.33,65.6,MEDIUM,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-07,ALKEM,LONG,09:15,09:22,5652.725,5725.5,87,498118.5,5698.14,5834.95,4.0,"ADX-FILTER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM",5,15.0,CAMARILLA,CAMARILLA: breakout above H4=5652.73,09:28,5698.14,STOP_HIT,LOSS,-3104.78,-0.62,48.9,STANDARD,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-07,TECHM,SHORT,09:15,09:22,1416.2,1421.1,351,498806.1,1449.42,1378.61,1.5,"ADX-FILTER,BOLLINGER,DAILY-BIAS,RSI-EXT",4,12.0,RSI-EXT,"RSI-EXT: RSI=75.3 overbought, sell reversion",11:03,1449.42,STOP_HIT,LOSS,-10673.29,-2.14,64.4,MEDIUM,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-08,CARTRADE,LONG,09:15,09:23,2815.32,2865.7,174,498631.8,2843.04,2956.34,4.0,"ADX-FILTER,CAMARILLA,CPR,DAILY-BIAS",4,12.0,CAMARILLA,CAMARILLA: breakout above H4=2815.32,09:49,2843.04,STOP_HIT,LOSS,-4666.76,-0.94,49.2,STANDARD,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-08,DMART,SHORT,09:20,09:28,4059.4,4047.3,123,497817.9,4079.22,3983.45,2.0,"ADX-FILTER,CPR,DAILY-BIAS,SUPERTREND",4,12.0,SUPERTREND,"SUPERTREND: flipped bearish, ST=4083.16",15:15,4029.8,TIME_EXIT,WIN,1427.8,0.29,65.5,HIGH,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-09,LENSKART,LONG,09:15,09:23,545.2275,545.75,916,499907.0,541.89,561.2,4.0,"ADX-FILTER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM",5,15.0,CAMARILLA,CAMARILLA: breakout above H4=545.23,10:05,561.2,TARGET_HIT,EXACT_WIN,13412.21,2.68,48.9,STANDARD,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-09,THERMAX,SHORT,09:15,09:23,4707.0,4690.0,106,497140.0,4784.14,4548.79,1.5,"ADX-FILTER,BOLLINGER,DAILY-BIAS,RSI-EXT",4,12.0,RSI-EXT,"RSI-EXT: RSI=76.9 overbought, sell reversion",15:01,4784.14,STOP_HIT,LOSS,-10709.56,-2.15,64.4,MEDIUM,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-10,WELSPUNLIV,LONG,09:20,09:28,167.69,168.26,2971,499900.46,166.92,170.94,2.0,"ADX-FILTER,CPR,DAILY-BIAS,FIRST-CANDLE,MACD,SUPERTREND",6,15.633,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=167.69,11:12,166.92,STOP_HIT,LOSS,-4706.76,-0.94,47.9,STANDARD,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-10,WAAREEENER,SHORT,09:15,09:23,2897.2,2901.7,172,499092.4,2959.64,2814.78,1.5,"ADX-FILTER,BOLLINGER,DAILY-BIAS,DBL-TOP,RSI-EXT",5,15.0,RSI-EXT,"RSI-EXT: RSI=77.0 overbought, sell reversion",15:15,2925.6,TIME_EXIT,LOSS,-4840.82,-0.97,65.1,MEDIUM,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-13,APOLLOHOSP,LONG,09:15,09:22,8911.875,8869.0,56,496664.0,8838.06,8992.75,4.0,"ADX-FILTER,CAMARILLA,CPR,DAILY-BIAS",4,12.0,CAMARILLA,CAMARILLA: breakout above H4=8911.88,09:24,8838.06,STOP_HIT,LOSS,-2455.63,-0.49,49.2,STANDARD,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-13,MCX,SHORT,09:15,09:22,2793.2675,2802.6,178,498862.8,2822.87,2762.07,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,RSI-EXT",5,15.0,CAMARILLA,"CAMARILLA: reversal at H3=2793.27, target L3=2752.73",15:15,2788.0,TIME_EXIT,WIN,1872.93,0.38,66.4,HIGH,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-14,LICI,LONG,09:15,09:23,439.50250000000005,441.6,1132,499891.2,440.25,444.29,1.99,"CAMARILLA,CPR,DAILY-BIAS,DBL-BTM",4,12.0,CAMARILLA,"CAMARILLA: reversal at L3=439.50, target H3=442.20",09:39,440.25,STOP_HIT,LOSS,-2255.75,-0.45,49.1,STANDARD,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-14,SIEMENS,SHORT,09:15,09:23,3469.25,3456.4,144,497721.6,3465.17,3438.87,2.0,"ADX-FILTER,CPR,DAILY-BIAS,DBL-TOP",4,12.0,CPR,"CPR: narrow CPR, breakdown below BC=3469.25",09:47,3438.87,TARGET_HIT,EXACT_WIN,1799.96,0.36,65.6,MEDIUM,0.0,0.0,,N/A,False,N/A,,N/A
2026-07-15,MRPL,LONG,09:20,09:27,159.0,159.1844635466412,3141,499890.15,160.34,161.51999999999998,1.68,"ADX-FILTER,DAILY-BIAS,DBL-BTM,FIRST-CANDLE",4,12.0,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=159.00,09:42,160.34,PROFIT_LOCK_STOP,WIN,2897.76,0.58,49.4,STANDARD,0.094,7.9,,N/A,True,N/A,,N/A
2026-07-15,AXISBANK,SHORT,09:15,09:22,1336.2,1340.3,373,499931.9,1314.84,1296.114,1.95,"BOLLINGER,DAILY-BIAS,DBL-TOP,RSI-EXT",4,12.0,RSI-EXT,"RSI-EXT: RSI=79.4 overbought, sell reversion",11:47,1314.84,PROFIT_LOCK_STOP,WIN,8773.19,1.75,64.9,MEDIUM,-0.307,7.9,,N/A,True,N/A,,N/A
2026-07-16,HINDCOPPER,SHORT,09:20,09:27,493.4,493.25,1013,499662.25,495.6,489.0,1.81,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE",5,15.0,CAMARILLA,"CAMARILLA: reversal at H3=493.40, target L3=489.00",12:17,489.0,TARGET_HIT,EXACT_WIN,3579.26,0.72,67.8,HIGH,0.03,8.0,,N/A,False,N/A,,N/A
2026-07-16,PREMIERENE,LONG,09:15,09:22,1102.295,1104.0,452,499008.0,1095.9975000000002,1127.485,2.93,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-BTM",4,12.0,CAMARILLA,CAMARILLA: breakout above H4=1102.30,13:50,1096.0,STOP_HIT,LOSS,-4340.69,-0.87,49.3,STANDARD,0.155,8.0,,N/A,False,N/A,,N/A
2026-07-17,POLICYBZR,SHORT,09:15,09:23,1584.375,1584.9,315,499243.5,1607.75,1537.625,2.07,"BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-TOP",4,12.0,CAMARILLA,"CAMARILLA: reversal at H3=1584.38, target L3=1537.62",09:40,1607.75,STOP_HIT,LOSS,-7929.74,-1.59,68.1,HIGH,-0.033,8.1,,N/A,False,EXIT_PARTIAL,,N/A
2026-07-17,ICICIBANK,LONG,09:15,09:23,1427.57,1428.0,350,499800.0,1435.98,1446.7099999999998,3.59,"ADX-FILTER,ASC-TRI,CAMARILLA,CPR,DAILY-BIAS",5,15.0,CAMARILLA,CAMARILLA: breakout above H4=1427.57,13:33,1435.98,PROFIT_LOCK_STOP,WIN,2062.15,0.41,49.0,STANDARD,0.03,8.1,,N/A,True,EXIT_CONFIRMED,,N/A
2026-07-20,ARE&M,LONG,09:20,09:27,911.55,911.35,467,425600.45,917.24,925.7499999999998,2.09,"ADX-FILTER,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD",6,18.0,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=911.55,09:46,917.24,PROFIT_LOCK_STOP,WIN,2120.98,0.5,48.0,STANDARD,-0.022,7.8,,N/A,True,EXIT_NOT_FILLED,2.82,ATR_VOL
2026-07-20,MAXHEALTH,SHORT,09:15,09:22,1095.225,1095.4,416,455686.4,1100.45,1084.775,2.1,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS",4,12.0,CAMARILLA,"CAMARILLA: reversal at H3=1095.22, target L3=1084.78",12:47,1100.45,STOP_HIT,LOSS,-2770.49,-0.61,67.5,HIGH,-0.016,7.9,,N/A,False,EXIT_CONFIRMED,2.63,ATR_VOL
2026-07-21,INDUSINDBK,LONG,09:15,09:22,1043.5974999999999,1044.006263269639,471,491582.7,1050.87,1062.7924999999996,3.9,"ADX-FILTER,BULL-FLAG,CAMARILLA,DAILY-BIAS",4,12.0,CAMARILLA,"CAMARILLA: breakout above H4=1043.60 [CORRECTED 2026-07-21 review: exit-corroboration bug - booked PROFIT_LOCK_STOP @ 1050.87 (Rs 2,512.63) on a stale/unconfirmed LTP tick the live order book disagreed with at that instant (book best bid 1051.60 > stop 1050.87); subsequent bars 09:40-10:35 show price continuing to new highs above the original target (up to 1068.75) - modeled as reaching TARGET_HIT instead. This is a reasoned reconstruction from real subsequent price action, not a certain fact.]",09:36,1062.7924999999996,TARGET_HIT,EXACT_WIN,8123.68,1.65,49.4,STANDARD,0.01,7.7,,N/A,True,EXIT_NOT_FILLED,2.44,ATR_VOL
