date,symbol,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct
2023-02-08,BRITANNIA,10:05,4626.3,72,333093.6,4578.05,4722.8,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,MACD,ORB-30,RSI-EXT,SUPERTREND,VPOC",3,4.4186,ORB-30,ORB-30: breakout above 4626.30 (range=48.25),15:15,4592.55,TIME_EXIT,LOSS,-2929.42,-0.88,49.7
2023-02-09,HCLTECH,11:05,1148.35,290,333021.5,1114.641,1271.1999999999998,3.64,"ASC-TRI,BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,RSI-EXT,SR-BREAK,SUPERTREND,VPOC",4,5.5938,ASC-TRI,Ascending Triangle: breakout above resistance 1148.22,15:15,1148.0,TIME_EXIT,LOSS,-602.67,-0.18,49.4
2023-02-10,INDIAMART,10:10,2396.9024999999997,139,333169.45,2379.70125,2465.707499999999,4.0,"CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",3,5.4748,CAMARILLA,CAMARILLA: breakout above H4=2396.90,15:15,2400.0,TIME_EXIT,WIN,-71.24,-0.02,48.0
2023-02-13,BRITANNIA,09:45,4621.3,72,332733.6,4600.0,4663.900000000001,2.0,"BOLLINGER,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-30,REL-STR,SR-BREAK",2,2.4748,ORB-30,ORB-30: breakout above 4621.30 (range=21.30),10:25,4600.0,STOP_HIT,LOSS,-2033.24,-0.61,49.0
2023-02-14,APLAPOLLO,12:05,1219.535,273,332933.06,1210.2675,1256.6050000000002,4.0,"ASC-TRI,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,SR-BREAK,VPOC",3,2.75,CAMARILLA,CAMARILLA: breakout above H4=1219.54,15:15,1221.8,TIME_EXIT,WIN,116.73,0.04,48.9
2023-02-15,HAVELLS,11:35,1200.0,277,332400.0,1190.0,1220.0,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,RSI-EXT,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",5,6.6936,ORB-30,ORB-30: breakout above 1200.00 (range=10.00),15:15,1219.1,TIME_EXIT,WIN,4786.11,1.44,49.5
2023-02-16,MPHASIS,09:15,2088.7799999999997,159,332116.02,2075.69,2141.1399999999994,4.0,"ASC-TRI,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",5,6.1935,CAMARILLA,CAMARILLA: breakout above H4=2088.78,10:00,2141.1399999999994,TARGET_HIT,EXACT_WIN,7818.64,2.35,57.8
2023-02-17,LT,10:15,2199.45,151,332116.95,2160.1,2278.1499999999996,2.0,"ASC-TRI,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",4,5.256,ORB-30,ORB-30: breakout above 2199.45 (range=39.35),15:15,2224.55,TIME_EXIT,WIN,3287.08,0.99,48.3
2023-02-20,AAVAS,09:20,1942.0800000000002,171,332095.68,1918.54,2036.2400000000005,4.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC,VWAP-STDDEV",3,3.9435,CAMARILLA,CAMARILLA: breakout above H4=1942.08,12:00,1918.54,STOP_HIT,LOSS,-4522.14,-1.36,48.3
2023-02-21,ULTRACEMCO,09:15,7409.466666666668,44,326016.53,7396.3,7435.800000000004,2.0,"ASC-TRI,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,REL-STR,RSI-EXT,SR-BREAK,STOCHASTIC,VWAP-STDDEV",3,2.5686,CPR,"CPR: narrow CPR, breakout above TC=7409.47",09:20,7435.800000000004,TARGET_HIT,EXACT_WIN,666.05,0.2,50.2
