date,symbol,direction,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier
2026-04-30,BHARTIARTL,LONG,09:35,1872.1,267,499850.7,1860.0,1896.2999999999997,2.0,"ADX-FILTER,ASC-TRI,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,MACD,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",15,42.6977,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=1872.10,13:50,1896.2999999999997,TARGET_HIT,EXACT_WIN,5727.58,1.15,48.1,STANDARD
2026-04-30,CARTRADE,SHORT,09:15,1671.1,299,499658.9,1694.2,1624.9,2.0,"CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,SR-BREAK,STOCHASTIC,SUPERTREND",10,30.0,CAMARILLA,"CAMARILLA: reversal at H3=1671.10, target L3=1624.90",10:15,1624.9,TARGET_HIT,EXACT_WIN,13093.25,2.62,70.6,HIGH
2026-05-04,DLF,LONG,09:15,593.805,842,499983.81,590.4775,607.1149999999999,4.0,"ASC-TRI,CAMARILLA,CPR,DAILY-BIAS,EMA-CROSS,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,VPOC",14,39.5338,CAMARILLA,CAMARILLA: breakout above H4=593.80,11:15,607.1149999999999,TARGET_HIT,EXACT_WIN,10469.26,2.09,50.0,STANDARD
2026-05-04,PERSISTENT,SHORT,09:15,4819.009999999999,103,496358.03,4837.82,4781.39,2.0,"ADX-FILTER,BEAR-ENGULF,CAMARILLA,CPR,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND",15,45.0,CAMARILLA,"CAMARILLA: reversal at H3=4819.01, target L3=4781.39",09:50,4781.39,TARGET_HIT,EXACT_WIN,3153.13,0.64,68.5,HIGH
2026-05-05,GRASIM,LONG,09:40,2845.8,175,498015.0,2823.6,2890.2000000000007,2.0,"ASC-TRI,BOLLINGER,CAMARILLA,DAILY-BIAS,EMA-CROSS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC",13,39.065,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=2845.80,15:15,2875.7,TIME_EXIT,WIN,4502.15,0.9,48.7,STANDARD
2026-05-05,COROMANDEL,SHORT,09:55,1982.6,252,499615.2,2009.0,1929.7999999999997,2.0,"DAILY-BIAS,FAILED-BO,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",11,33.0,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=1982.60,13:20,2009.0,STOP_HIT,LOSS,-7384.99,-1.48,68.9,HIGH
2026-05-06,INOXWIND,LONG,09:20,105.69,4730,499913.7,104.41,108.25,2.0,"ADX-FILTER,BULL-FLAG,CPR,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",13,39.0,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=105.69,15:15,107.12,TIME_EXIT,WIN,6029.75,1.21,49.6,STANDARD
2026-05-06,LENSKART,SHORT,09:15,512.4225,975,499611.94,517.345,502.5775,2.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-TOP,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,SUPERTREND",14,42.0,CAMARILLA,"CAMARILLA: reversal at H3=512.42, target L3=502.58",10:20,502.5775,TARGET_HIT,EXACT_WIN,8875.98,1.78,69.9,HIGH
2026-05-07,LAURUSLABS,LONG,09:20,1197.02,417,499157.34,1187.01,1237.06,4.0,"CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",13,36.5338,CAMARILLA,CAMARILLA: breakout above H4=1197.02,15:15,1206.5,TIME_EXIT,WIN,3222.27,0.65,50.0,STANDARD
2026-05-07,COROMANDEL,SHORT,09:15,2029.3225000000002,246,499213.34,2039.7450000000001,2008.4775,2.0,"BEAR-ENGULF,BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,SUPERTREND",13,39.0,CAMARILLA,"CAMARILLA: reversal at H3=2029.32, target L3=2008.48",09:40,2008.4775,TARGET_HIT,EXACT_WIN,4402.96,0.88,69.0,HIGH
