date,symbol,direction,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier
2022-06-16,BATAINDIA,SHORT,09:40,1734.25,288,499464.0,1748.7,1705.35,2.0,"DAILY-BIAS,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",13,39.0,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=1734.25,11:40,1705.35,TARGET_HIT,EXACT_WIN,7599.78,1.52,66.1,MEDIUM
2022-06-17,AUBANK,LONG,09:40,620.0,806,499720.0,612.45,635.0999999999999,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,PIN-BAR,SR-BREAK",5,21.75,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=620.00,12:45,612.45,STOP_HIT,LOSS,-6809.01,-1.36,42.5,STANDARD
2022-06-17,BANDHANBNK,SHORT,09:50,314.1075,1591,499745.03,318.865,304.59250000000003,2.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-TOP,FAILED-BO,MACD,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,VWAP-REV",11,30.5,CAMARILLA,"CAMARILLA: reversal at H3=314.11, target L3=304.59",15:15,309.45,TIME_EXIT,WIN,6685.76,1.34,66.6,HIGH
2022-06-20,GODREJCP,LONG,10:05,740.6750000000001,675,499955.63,732.0125,775.3250000000002,4.0,"ADX-FILTER,CAMARILLA,FALL-WEDGE,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",9,38.0236,CAMARILLA,CAMARILLA: breakout above H4=740.68,15:15,758.05,TIME_EXIT,WIN,10989.99,2.2,42.1,STANDARD
2022-06-20,SHRIRAMFIN,SHORT,09:25,230.0,2173,499790.0,232.0,226.0,2.0,"ADX-FILTER,BOLLINGER,CPR,DBL-TOP,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,ORB-30,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",15,42.6327,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=230.00,09:45,226.0,TARGET_HIT,EXACT_WIN,7968.35,1.59,65.3,MEDIUM
2022-06-21,HDFCAMC,LONG,09:15,860.2142857142858,581,499784.5,857.4285714285714,873.5857142857144,4.8,"CAMARILLA,CPR,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,VPOC",9,33.0,VPOC,VPOC: breakout above VAH=860.21,09:25,873.5857142857144,TARGET_HIT,EXACT_WIN,7034.03,1.41,43.6,STANDARD
2022-06-21,CHOLAFIN,SHORT,13:40,629.95,793,499550.35,635.16,611.45,3.55,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,MACD,REL-STR,RSI-EXT,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",13,36.9491,FAILED-BO,"Failed BO: bull trap above 630.75, reversed on vol 1.7×",15:15,625.6,TIME_EXIT,WIN,2723.23,0.55,64.0,MEDIUM
2022-06-22,HAL,LONG,09:30,892.5,560,499800.0,880.0,917.5,2.0,"BOLLINGER,CAMARILLA,CPR,EMA-CROSS,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,STOCHASTIC,SUPERTREND,VPOC",8,36.7227,FIRST-CANDLE,FIRST-CANDLE: break above first candle high=892.50,15:15,890.5,TIME_EXIT,LOSS,-1847.75,-0.37,41.3,STANDARD
2022-06-22,TATACONSUM,SHORT,09:30,712.1,702,499894.2,718.05,700.2000000000002,2.0,"ADX-FILTER,CPR,DAILY-BIAS,DBL-TOP,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC",12,33.6327,FIRST-CANDLE,FIRST-CANDLE: break below first candle low=712.10,12:00,700.2000000000002,TARGET_HIT,EXACT_WIN,7629.81,1.53,67.6,MEDIUM
2022-06-23,INDUSTOWER,LONG,09:25,210.08673469387753,2379,499796.34,208.76989795918365,213.62857142857138,2.69,"ADX-FILTER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",10,39.0,VPOC,VPOC: breakout above VAH=210.09,15:15,211.35,TIME_EXIT,WIN,2274.3,0.46,42.0,STANDARD
